company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,postcode,region,accounts_type,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,has_https,prospect_score,priority_tier,ml_probability,score_industry,score_company_age,score_company_size,score_geography,score_web_presence,reason_industry,reason_company_age,reason_company_size,reason_geography,reason_web_presence
Thomas & Evans Construction,13917245,ltd,active,68100,Real Estate,1995-07-17,30.6,FY1 8RE,Blackpool,total-exemption-full,8,5,4,0,64,304,21,False,0,3,True,True,87.91,Hot,,78.26,98.4,99.0,50.0,100.0,Real Estate: lift ratio 1.37x,Established: 30.6 years,Large org: 8 officers; Good filing history: 64,Region: Blackpool,Has website with HTTPS
Cyber LLP,06066251,ltd,active,68209,Real Estate,2004-08-16,21.5,WF1 5TP,Wakefield,micro-entity,1,1,1,0,52,212,17,False,0,2,True,True,87.23,Hot,,78.26,100.0,95.0,50.0,100.0,Real Estate: lift ratio 1.37x,Optimal age: 21.5 years (target: 7-29),Small team: 1 officers; Good filing history: 52,Region: Wakefield,Has website with HTTPS
PES Construction,07949543,ltd,active,68209,Real Estate,2016-03-13,9.9,AB1 6UJ,Aberdeen,total-exemption-full,1,1,1,0,38,202,9,False,0,4,True,True,87.23,Hot,,78.26,100.0,95.0,50.0,100.0,Real Estate: lift ratio 1.37x,Optimal age: 9.9 years (target: 7-29),Small team: 1 officers; Good filing history: 38,Region: Aberdeen,Has website with HTTPS
YKZ Technologies,02654343,ltd,active,46760,Wholesale & Retail,2012-02-01,14.0,KT1 3PN,Surrey,total-exemption-full,7,2,2,0,48,142,14,False,0,2,True,True,87.14,Hot,,66.67,100.0,100.0,71.43,100.0,SIC 46760: high-value indicator,Optimal age: 14.0 years (target: 7-29),Optimal officers: 7; Good filing history: 48,Region: Surrey,Has website with HTTPS
Swift International,02026454,ltd,active,17230,Manufacturing,2006-08-20,19.5,LA1 7DM,Lancashire,total-exemption-full,6,4,1,0,51,315,17,False,0,2,True,True,87.08,Hot,,77.78,100.0,100.0,37.5,100.0,SIC 17230: high-value indicator,Optimal age: 19.5 years (target: 7-29),Optimal officers: 6; Good filing history: 51,Region: Lancashire,Has website with HTTPS
CNI Holdings,07150439,ltd,active,47620,Wholesale & Retail,2012-04-19,13.8,CW1 6MN,Cheshire,small,7,2,1,0,52,143,13,False,0,4,True,True,87.05,Hot,,75.0,100.0,100.0,45.45,100.0,SIC 47620: high-value indicator,Optimal age: 13.8 years (target: 7-29),Optimal officers: 7; Good filing history: 52,Region: Cheshire,Has website with HTTPS
Wilson & Davies Solutions,06894759,ltd,active,78200,Administrative Services,2015-11-14,10.2,RH1 4VT,Surrey,total-exemption-small,1,1,1,1,31,167,10,False,0,4,True,True,86.79,Hot,,69.64,100.0,95.0,71.43,100.0,Administrative Services: lift ratio 1.22x,Optimal age: 10.2 years (target: 7-29),Small team: 1 officers; Good filing history: 31,Region: Surrey,Has website with HTTPS
Pro Enterprises,12695097,private-limited-guarant-nsc,active,56103,Accommodation & Food,2018-12-24,7.1,EX1 4LM,Exeter,micro-entity,1,1,1,0,17,85,5,False,0,4,True,True,86.25,Hot,,75.0,100.0,95.0,50.0,100.0,SIC 56103: high-value indicator,Optimal age: 7.1 years (target: 7-29),Small team: 1 officers; Good filing history: 17,Region: Exeter,Has website with HTTPS
Wilson & Williams Resources,12044935,ltd,active,22290,Manufacturing,2017-03-29,8.9,LE1 2RE,Leicester,total-exemption-full,1,1,1,0,25,213,8,False,0,3,True,True,86.25,Hot,,77.78,100.0,95.0,41.67,100.0,SIC 22290: high-value indicator,Optimal age: 8.9 years (target: 7-29),Small team: 1 officers; Good filing history: 25,Region: Leicester,Has website with HTTPS
Evans & Wright Engineering,02222736,ltd,active,68209,Real Estate,2021-04-13,4.8,BT3 8FY,Belfast,micro-entity,2,1,1,1,13,372,4,False,0,3,True,True,86.15,Hot,,78.26,89.0,99.5,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 4.8 years,Optimal officers: 2; Limited history: 13 filings,Region: Belfast,Has website with HTTPS
Green LLP,12505032,ltd,active,56103,Accommodation & Food,2019-05-03,6.8,NP1 7DF,Newport,dormant,1,1,1,0,23,220,6,False,0,3,True,True,86.05,Hot,,75.0,99.0,95.0,50.0,100.0,SIC 56103: high-value indicator,Young company: 6.8 years,Small team: 1 officers; Good filing history: 23,Region: Newport,Has website with HTTPS
South Engineering,09123384,ltd,active,46180,Wholesale & Retail,2017-09-27,8.4,FY1 3XN,Blackpool,total-exemption-full,5,2,1,1,23,340,7,False,0,4,False,False,86.0,Hot,,100.0,100.0,100.0,50.0,40.0,SIC 46180: high-value indicator,Optimal age: 8.4 years (target: 7-29),Optimal officers: 5; Good filing history: 23,Region: Blackpool,No website detected
Williams & Walker Properties,10742944,ltd,active,01410,Agriculture,2012-07-29,13.5,RG1 4MT,Reading,total-exemption-full,2,1,1,0,32,188,10,False,0,4,False,False,86.0,Hot,,100.0,100.0,100.0,50.0,40.0,Agriculture: lift ratio 1.75x,Optimal age: 13.5 years (target: 7-29),Optimal officers: 2; Good filing history: 32,Region: Reading,No website detected
LEI Partners,NI860242,ltd,active,81100,Administrative Services,2018-05-25,7.7,SA1 7NC,Swansea,small,6,2,1,0,28,67,7,False,0,1,True,True,85.89,Hot,,69.64,100.0,100.0,50.0,100.0,Administrative Services: lift ratio 1.22x,Optimal age: 7.7 years (target: 7-29),Optimal officers: 6; Good filing history: 28,Region: Swansea,Has website with HTTPS
Green Design,11303471,ltd,active,78109,Administrative Services,2019-04-20,6.8,DG1 3HV,Dumfries,total-exemption-full,2,1,1,0,28,113,6,False,0,2,True,True,85.69,Hot,,69.64,99.0,100.0,50.0,100.0,Administrative Services: lift ratio 1.22x,Young company: 6.8 years,Optimal officers: 2; Good filing history: 28,Region: Dumfries,Has website with HTTPS
Wilson & Johnson Manufacturing,15242191,ltd,active,78200,Administrative Services,2021-10-03,4.3,LS1 6AP,Leeds,total-exemption-full,3,1,1,0,10,46,3,False,0,1,True,True,85.65,Hot,,69.64,86.5,98.0,79.55,100.0,Administrative Services: lift ratio 1.22x,Young company: 4.3 years,Optimal officers: 3; Limited history: 10 filings,Region: Leeds (high-value area),Has website with HTTPS
XEV Group,08492618,ltd,active,81100,Administrative Services,2013-06-25,12.6,SE10 6PM,London,total-exemption-full,5,3,2,0,38,368,12,False,0,2,True,True,85.57,Hot,,69.64,100.0,100.0,46.74,100.0,Administrative Services: lift ratio 1.22x,Optimal age: 12.6 years (target: 7-29),Optimal officers: 5; Good filing history: 38,Region: London,Has website with HTTPS
Premier International,06551494,ltd,active,22290,Manufacturing,2016-09-23,9.4,CB1 9VV,Cambridge,micro-entity,2,1,1,1,31,152,9,False,0,1,True,True,85.42,Hot,,77.78,100.0,100.0,20.83,100.0,SIC 22290: high-value indicator,Optimal age: 9.4 years (target: 7-29),Optimal officers: 2; Good filing history: 31,Region: Cambridge,Has website with HTTPS
Urban Marketing,SC737058,ltd,active,81100,Administrative Services,1998-09-19,27.4,DH1 4RM,Durham,full,9,3,3,1,77,333,25,False,0,4,True,True,85.39,Hot,,69.64,100.0,98.0,50.0,100.0,Administrative Services: lift ratio 1.22x,Optimal age: 27.4 years (target: 7-29),Large org: 9 officers; Good filing history: 77,Region: Durham,Has website with HTTPS
VRN Holdings,NI190644,ltd,active,68310,Real Estate,2018-09-24,7.4,BA1 5MC,Bath,total-exemption-full,2,1,1,0,25,318,7,False,0,3,True,False,85.29,Hot,,78.26,100.0,100.0,50.0,78.74,Real Estate: lift ratio 1.37x,Optimal age: 7.4 years (target: 7-29),Optimal officers: 2; Good filing history: 25,Region: Bath,Has website
Wilson & Brown Manufacturing,14456276,ltd,active,18129,Manufacturing,2018-09-07,7.4,ML1 5XF,Motherwell,total-exemption-full,2,1,1,1,23,172,7,False,0,3,True,True,85.2,Hot,,67.33,100.0,100.0,50.0,100.0,Manufacturing: lift ratio 1.18x,Optimal age: 7.4 years (target: 7-29),Optimal officers: 2; Good filing history: 23,Region: Motherwell,Has website with HTTPS
City Group,SC383571,ltd,active,56302,Accommodation & Food,2013-11-30,12.2,WN1 7NW,Wigan,small,5,2,2,0,30,36,10,False,0,2,True,True,85.0,Hot,,66.67,100.0,100.0,50.0,100.0,SIC 56302: high-value indicator,Optimal age: 12.2 years (target: 7-29),Optimal officers: 5; Good filing history: 30,Region: Wigan,Has website with HTTPS
Evans & Smith Systems,NI629996,ltd,active,01110,Agriculture,2019-10-04,6.3,SW1 9UD,London,total-exemption-full,6,3,1,0,26,244,6,False,0,2,False,False,84.97,Hot,,100.0,96.5,100.0,46.74,40.0,Agriculture: lift ratio 1.75x,Young company: 6.3 years,Optimal officers: 6; Good filing history: 26,Region: London,No website detected
EVW Associates,02918984,ltd,active,47110,Wholesale & Retail,2019-07-19,6.5,LS1 7YV,Leeds,total-exemption-full,1,1,1,0,24,69,6,False,0,2,True,True,84.63,Hot,,61.43,97.5,95.0,79.55,100.0,Wholesale & Retail: lift ratio 1.08x,Young company: 6.5 years,Small team: 1 officers; Good filing history: 24,Region: Leeds (high-value area),Has website with HTTPS
Thomas & Taylor Trading,07751158,other,active,18129,Manufacturing,2016-08-06,9.5,S1 6PW,Sheffield,total-exemption-full,6,3,3,0,25,366,8,False,0,3,True,True,84.37,Hot,,67.33,100.0,100.0,41.67,100.0,Manufacturing: lift ratio 1.18x,Optimal age: 9.5 years (target: 7-29),Optimal officers: 6; Good filing history: 25,Region: Sheffield,Has website with HTTPS
Quantum PLC,10713311,ltd,active,14190,Manufacturing,2020-02-18,6.0,BN1 8RP,Brighton,total-exemption-full,4,2,2,0,17,75,5,False,0,1,True,True,84.2,Hot,,67.33,95.0,100.0,50.0,100.0,Manufacturing: lift ratio 1.18x,Young company: 6.0 years,Optimal officers: 4; Good filing history: 17,Region: Brighton,Has website with HTTPS
Instant Limited,03804075,ltd,active,62011,Information & Communication,2004-12-03,21.2,LS1 8DM,Leeds,micro-entity,3,1,1,1,62,288,20,False,0,3,True,True,84.2,Hot,,54.17,100.0,100.0,79.55,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 21.2 years (target: 7-29),Optimal officers: 3; Good filing history: 62,Region: Leeds (high-value area),Has website with HTTPS
Smith & Johnson Consulting,02946062,ltd,active,56103,Accommodation & Food,2022-08-04,3.5,HD1 8MF,Huddersfield,total-exemption-small,2,1,1,0,15,36,3,False,0,2,True,True,84.0,Hot,,75.0,82.5,100.0,50.0,100.0,SIC 56103: high-value indicator,Young company: 3.5 years,Optimal officers: 2; Good filing history: 15,Region: Huddersfield,Has website with HTTPS
Brown & Wright Group,02645243,ltd,active,47110,Wholesale & Retail,2005-03-24,20.9,CF1 6KG,Cardiff,total-exemption-small,3,1,1,0,46,131,15,False,0,4,True,True,83.98,Hot,,61.43,100.0,100.0,55.56,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 20.9 years (target: 7-29),Optimal officers: 3; Good filing history: 46,Region: Cardiff,Has website with HTTPS
Urban UK,NI943671,ltd,active,68209,Real Estate,2020-02-03,6.0,SW1 3CK,London,total-exemption-small,3,2,2,0,24,295,6,False,0,3,True,False,83.96,Hot,,78.26,95.0,100.0,46.74,78.74,Real Estate: lift ratio 1.37x,Young company: 6.0 years,Optimal officers: 3; Good filing history: 24,Region: London,Has website
Blue Systems,11295250,private-limited-guarant-nsc,active,18140,Manufacturing,2007-10-22,18.3,LA1 3PS,Lancashire,total-exemption-full,3,1,1,0,34,257,11,False,0,1,True,True,83.95,Hot,,67.33,100.0,100.0,37.5,100.0,Manufacturing: lift ratio 1.18x,Optimal age: 18.3 years (target: 7-29),Optimal officers: 3; Good filing history: 34,Region: Lancashire,Has website with HTTPS
RXM Media,11860785,ltd,active,43220,Construction,2019-11-19,6.2,SA1 3FB,Swansea,total-exemption-full,4,1,1,0,11,276,3,False,0,3,True,True,83.82,Hot,,66.67,96.0,98.5,50.0,100.0,SIC 43220: high-value indicator,Young company: 6.2 years,Optimal officers: 4; Limited history: 11 filings,Region: Swansea,Has website with HTTPS
Sterling Limited,08215305,ltd,active,43220,Construction,2018-12-07,7.2,BN1 7RW,Brighton,total-exemption-full,1,1,1,1,20,175,6,False,0,1,True,True,83.75,Hot,,66.67,100.0,95.0,50.0,100.0,SIC 43220: high-value indicator,Optimal age: 7.2 years (target: 7-29),Small team: 1 officers; Good filing history: 20,Region: Brighton,Has website with HTTPS
Dynamic Solutions,07205454,private-limited-guarant-nsc,active,46410,Wholesale & Retail,2009-12-05,16.2,IP1 5DL,Ipswich,total-exemption-full,4,3,2,0,59,355,16,False,0,4,True,True,83.43,Hot,,61.43,100.0,100.0,50.0,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 16.2 years (target: 7-29),Optimal officers: 4; Good filing history: 59,Region: Ipswich,Has website with HTTPS
Sterling Limited,14204004,ltd,active,46410,Wholesale & Retail,2017-01-18,9.0,TQ1 7VB,Torquay,total-exemption-small,3,2,1,0,21,65,7,False,0,1,True,True,83.43,Hot,,61.43,100.0,100.0,50.0,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 9.0 years (target: 7-29),Optimal officers: 3; Good filing history: 21,Region: Torquay,Has website with HTTPS
Metro LLP,03355029,ltd,active,56102,Accommodation & Food,2016-07-24,9.5,SY1 1VV,Shrewsbury,micro-entity,2,1,1,0,31,238,9,False,0,2,True,True,83.41,Hot,,61.36,100.0,100.0,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 9.5 years (target: 7-29),Optimal officers: 2; Good filing history: 31,Region: Shrewsbury,Has website with HTTPS
Wilson & Roberts Communications,09056301,other,active,56210,Accommodation & Food,2011-02-20,15.0,LL1 4SY,Wales,total-exemption-full,5,2,2,1,55,158,14,False,0,3,True,True,83.41,Hot,,61.36,100.0,100.0,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 15.0 years (target: 7-29),Optimal officers: 5; Good filing history: 55,Region: Wales,Has website with HTTPS
JFB Logistics,08159368,ltd,active,18129,Manufacturing,2020-06-14,5.6,TW1 8GW,Middlesex,small,5,1,1,0,20,66,5,True,10,2,True,True,83.38,Hot,,67.33,93.0,93.33,62.5,100.0,Manufacturing: lift ratio 1.18x,Young company: 5.6 years,Optimal officers: 5; Good filing history: 20; Has credit charges (established),Region: Middlesex,Has website with HTTPS
Direct UK,12079714,ltd,active,56103,Accommodation & Food,2022-11-05,3.2,SW1 3BH,London,small,4,1,1,1,15,166,3,False,0,1,True,True,83.37,Hot,,75.0,81.0,100.0,46.74,100.0,SIC 56103: high-value indicator,Young company: 3.2 years,Optimal officers: 4; Good filing history: 15,Region: London,Has website with HTTPS
GTJ Development,09595901,ltd,active,68310,Real Estate,2020-12-04,5.2,SE1 5AH,London,micro-entity,3,2,1,1,20,390,5,False,0,1,True,False,83.16,Hot,,78.26,91.0,100.0,46.74,78.74,Real Estate: lift ratio 1.37x,Young company: 5.2 years,Optimal officers: 3; Good filing history: 20,Region: London,Has website
East Ltd,NI172274,ltd,active,68209,Real Estate,2021-10-19,4.3,LD1 2HT,Wales,micro-entity,1,1,1,1,12,248,4,True,6,3,True,True,83.11,Hot,,78.26,86.5,89.33,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 4.3 years,Small team: 1 officers; Limited history: 12 filings; Has credit charges (established),Region: Wales,Has website with HTTPS
XHW Media,10163149,ltd,active,46499,Wholesale & Retail,2009-09-02,16.4,E1 3SY,London,medium,7,5,5,1,54,305,16,False,0,3,True,True,83.1,Hot,,61.43,100.0,100.0,46.74,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 16.4 years (target: 7-29),Optimal officers: 7; Good filing history: 54,Region: London,Has website with HTTPS
Wright & Jones Construction,09466446,ltd,active,47620,Wholesale & Retail,1983-03-30,42.9,MK1 4SX,Milton Keynes,small,9,6,5,0,91,163,30,False,0,4,True,True,82.97,Hot,,75.0,86.1,93.0,50.0,100.0,SIC 47620: high-value indicator,Established: 42.9 years,Large org: 9 officers; Extensive history: 91 filings,Region: Milton Keynes,Has website with HTTPS
Titan & Co,SC150126,other,active,78109,Administrative Services,2023-09-14,2.4,SL1 3YR,Berkshire,total-exemption-full,2,1,1,0,7,345,2,False,0,3,True,True,82.92,Hot,,69.64,77.0,96.5,75.0,100.0,Administrative Services: lift ratio 1.22x,Young company: 2.4 years,Optimal officers: 2; Limited history: 7 filings,Region: Berkshire (high-value area),Has website with HTTPS
CVH Consulting,11486733,ltd,active,68209,Real Estate,2022-12-27,3.1,M1 5VP,Manchester,micro-entity,1,1,1,0,10,311,3,False,0,2,True,True,82.83,Hot,,78.26,80.5,93.0,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 3.1 years,Small team: 1 officers; Limited history: 10 filings,Region: Manchester,Has website with HTTPS
VDP Marketing,SC177060,ltd,active,78200,Administrative Services,2018-12-27,7.1,ML1 6AF,Motherwell,total-exemption-full,6,2,1,0,19,51,6,False,0,3,True,False,82.7,Hot,,69.64,100.0,100.0,50.0,78.74,Administrative Services: lift ratio 1.22x,Optimal age: 7.1 years (target: 7-29),Optimal officers: 6; Good filing history: 19,Region: Motherwell,Has website
Smart Design,07262661,ltd,active,43220,Construction,2021-07-16,4.6,LU1 2NA,East of England,full,5,3,1,0,22,67,4,False,0,3,True,True,82.6,Hot,,66.67,88.0,100.0,50.0,100.0,SIC 43220: high-value indicator,Young company: 4.6 years,Optimal officers: 5; Good filing history: 22,Region: East of England,Has website with HTTPS
Atlas Marketing,10435665,ltd,active,63120,Information & Communication,2018-08-24,7.4,TW1 2DU,Middlesex,small,6,4,1,0,19,260,6,False,0,4,True,True,82.5,Hot,,54.17,100.0,100.0,62.5,100.0,Information & Communication: lift ratio 0.95x,Optimal age: 7.4 years (target: 7-29),Optimal officers: 6; Good filing history: 19,Region: Middlesex,Has website with HTTPS
UJC Enterprises,10276236,ltd,active,82990,Administrative Services,2020-12-06,5.2,SS1 9KL,Southend,full,5,3,3,0,20,100,5,True,7,1,True,True,82.43,Hot,,69.64,91.0,93.33,50.0,100.0,Administrative Services: lift ratio 1.22x,Young company: 5.2 years,Optimal officers: 5; Good filing history: 20; Has credit charges (established),Region: Southend,Has website with HTTPS
Tech Construction,12734678,ltd,active,68209,Real Estate,1986-01-20,40.0,CF1 1DX,Cardiff,total-exemption-full,4,3,1,0,105,396,35,False,0,2,True,False,82.4,Hot,,78.26,89.0,95.0,55.56,78.74,Real Estate: lift ratio 1.37x,Established: 40.0 years,Optimal officers: 4; Extensive history: 105 filings,Region: Cardiff,Has website
Sterling PLC,13623009,ltd,active,81210,Administrative Services,2013-01-09,13.1,EC1A 9FK,London,small,4,1,1,1,27,268,9,False,0,4,True,False,82.38,Hot,,69.64,100.0,100.0,46.74,78.74,Administrative Services: lift ratio 1.22x,Optimal age: 13.1 years (target: 7-29),Optimal officers: 4; Good filing history: 27,Region: London,Has website
Urban Group,12639952,ltd,active,46110,Wholesale & Retail,1999-02-06,27.0,L1 6GL,Liverpool,total-exemption-full,9,3,1,0,68,66,22,False,0,3,True,False,82.24,Hot,,61.43,100.0,98.0,75.0,78.74,Wholesale & Retail: lift ratio 1.08x,Optimal age: 27.0 years (target: 7-29),Large org: 9 officers; Good filing history: 68,Region: Liverpool (high-value area),Has website
Davies & Williams Creative,05915038,ltd,active,74909,Professional Services,2011-04-16,14.8,HP1 8GN,Buckinghamshire,small,7,2,1,0,44,330,14,False,0,4,True,False,82.01,Hot,,52.73,100.0,100.0,93.75,78.74,Professional Services: lift ratio 0.92x,Optimal age: 14.8 years (target: 7-29),Optimal officers: 7; Good filing history: 44,Region: Buckinghamshire (high-value area),Has website
United Properties,06177530,ltd,active,68320,Real Estate,2023-01-29,3.0,IP1 5DD,Ipswich,total-exemption-full,5,1,1,1,4,14,1,True,10,3,True,True,81.98,Hot,,78.26,80.0,90.0,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 3.0 years,Optimal officers: 5; Limited history: 4 filings; Has credit charges (established),Region: Ipswich,Has website with HTTPS
FIA Design,08594054,llp,active,68100,Real Estate,2006-05-06,19.7,OX1 3TD,Oxford,total-exemption-full,4,1,1,1,49,190,16,False,0,3,False,False,81.98,Hot,,78.26,100.0,100.0,75.0,40.0,Real Estate: lift ratio 1.37x,Optimal age: 19.7 years (target: 7-29),Optimal officers: 4; Good filing history: 49,Region: Oxford (high-value area),No website detected
Prime Manufacturing,08204299,ltd,active,82920,Administrative Services,2011-07-09,14.6,LE1 3GL,Leicester,total-exemption-full,5,2,1,0,34,216,11,False,0,4,True,False,81.87,Hot,,69.64,100.0,100.0,41.67,78.74,Administrative Services: lift ratio 1.22x,Optimal age: 14.6 years (target: 7-29),Optimal officers: 5; Good filing history: 34,Region: Leicester,Has website
Thompson & Thomas Holdings,05673599,ltd,active,45200,Wholesale & Retail,1997-11-17,28.2,NW3 6EU,London,total-exemption-full,7,5,1,0,92,303,28,False,0,2,True,True,81.85,Hot,,61.43,100.0,95.0,46.74,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 28.2 years (target: 7-29),Optimal officers: 7; Extensive history: 92 filings,Region: London,Has website with HTTPS
Smith & Williams Development,03007387,other,active,56103,Accommodation & Food,2023-09-24,2.4,WC1 2TY,London,medium,5,2,2,0,8,212,2,False,0,2,True,True,81.82,Hot,,75.0,77.0,97.0,46.74,100.0,SIC 56103: high-value indicator,Young company: 2.4 years,Optimal officers: 5; Limited history: 8 filings,Region: London,Has website with HTTPS
Peak Industries,10443076,ltd,active,27900,Manufacturing,2022-05-05,3.8,SL1 7DT,Berkshire,total-exemption-full,1,1,1,1,11,237,3,True,2,2,True,True,81.75,Hot,,67.33,84.0,89.0,75.0,100.0,Manufacturing: lift ratio 1.18x,Young company: 3.8 years,Small team: 1 officers; Limited history: 11 filings; Has credit charges (established),Region: Berkshire (high-value area),Has website with HTTPS
CKM Construction,03529124,ltd,active,82110,Administrative Services,2024-05-11,1.7,KT1 7WN,Surrey,small,2,1,1,0,6,155,1,False,0,3,True,True,81.74,Hot,,69.64,73.5,96.0,71.43,100.0,Administrative Services: lift ratio 1.22x,Young company: 1.7 years,Optimal officers: 2; Limited history: 6 filings,Region: Surrey,Has website with HTTPS
Walker & Taylor Print,02379891,llp,active,56101,Accommodation & Food,2011-05-07,14.7,BT2 9AD,Belfast,micro-entity,2,1,1,0,46,177,14,True,6,4,True,True,81.74,Hot,,61.36,100.0,93.33,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 14.7 years (target: 7-29),Optimal officers: 2; Good filing history: 46; Has credit charges (established),Region: Belfast,Has website with HTTPS
Matrix Enterprises,13218569,ltd,active,55100,Accommodation & Food,2002-11-07,23.2,SK1 9GG,Stockport,micro-entity,3,1,1,0,77,338,23,True,1,4,True,True,81.74,Hot,,61.36,100.0,93.33,50.0,100.0,Accommodation & Food: lift ratio 1.07x,Optimal age: 23.2 years (target: 7-29),Optimal officers: 3; Good filing history: 77; Has credit charges (established),Region: Stockport,Has website with HTTPS
CPH Holdings,06077267,ltd,active,58190,Information & Communication,2004-10-08,21.3,LU1 9AG,East of England,total-exemption-full,5,3,3,0,52,120,17,True,5,3,True,True,81.67,Hot,,61.11,100.0,93.33,50.0,100.0,SIC 58190: high-value indicator,Optimal age: 21.3 years (target: 7-29),Optimal officers: 5; Good filing history: 52; Has credit charges (established),Region: East of England,Has website with HTTPS
Sterling PLC,14615135,ltd,active,47990,Wholesale & Retail,2004-01-09,22.1,EC2 7JE,London,total-exemption-full,5,3,1,0,51,120,17,True,5,2,True,True,81.44,Hot,,61.43,100.0,93.33,46.74,100.0,Wholesale & Retail: lift ratio 1.08x,Optimal age: 22.1 years (target: 7-29),Optimal officers: 5; Good filing history: 51; Has credit charges (established),Region: London,Has website with HTTPS
