company,ads_core_subcluster
Martin & Taylor 365,9
Allen & Smith 366,9
FlexPrin 367,2
VanguardGrap 369,0
Oxford Communications 370,0
Stellar Manufacturing 380,9
Cardiff Packaging 382,4
Pro Industries 384,2
GammaPart 386,2
Manchester Marketing 389,2
Cardiff Display 391,2
Atlas Marketing 394,2
Evans & Wilson 395,2
Metro Enterprises 396,2
Edwards & Jackson 399,4
Atlantic Print 401,4
Horizon Productions 402,4
Stellar Solutions 405,9
ASRH 407,9
EVP 409,4
Max Marketing 411,2
Beta International 412,8
Nottingham Packaging 414,2
Elite International 416,9
Sheffield Enterprises 417,9
VertexDisp 420,2
Leeds Systems 424,4
Plymouth Works 427,4
Oxford Labels 431,6
Continental Holdings 437,9
Cardiff Enterprises 439,4
AtlanticComm 441,4
Precision Display 443,9
Alpha Packaging 445,2
Baker & Baker 446,9
Vertex Creative 453,7
Stellar Group 455,4
Mitchell & Thompson 457,2
ZU 466,3
Thompson & Wood 478,9
Allen & Wood 481,7
Urban Holdings 483,7
Lee & Walker 485,2
Brighton Partners 487,4
King & Walker 489,4
Vanguard Productions 491,2
Gamma International 492,4
MF 493,9
CentralCrea 496,4
Morgan & Baker 499,2
Leeds Display 500,3
Nexus Works 504,4
Central Packaging 507,4
Bradford Systems 510,2
Stellar Solutions 513,6
Premier Labels 516,2
Mega Works 517,2
Pacific Partners 518,5
FCHG 520,2
Gamma Creative 522,4
Plymouth Industries 525,4
SouthernPart 526,2
Mega Solutions 528,4
Matrix Partners 529,4
Bradford Partners 531,2
Chester Holdings 535,9
Ultra Marketing 537,2
UrbanEnte 539,0
Flex Creative 540,9
York Productions 542,2
Nexus Industries 544,4
MetroTech 548,2
Belfast Labels 549,4
Summit Creative 550,4
TFKC 552,4
Pinnacle Media 555,7
Quantum Technologies 557,4
Central Industries 560,0
Chester Communications 565,4
Manchester Signs 567,4
Norwich Creative 570,4
Coventry Enterprises 574,4
Atlantic Communications 576,8
Nottingham Solutions 577,9
NexusPart 579,9
Flex Group 580,9
York Systems 581,9
PinnacleGrap 595,2
Pacific Media 596,9
MeridianWork 599,9
Thompson & Morgan 600,2
Norwich Design 602,5
Beta Graphics 605,4
Metro Graphics 608,9
Continental Industries 610,4
Prime Productions 613,0
Cardiff Works 615,4
BJEN 618,0
VectorSign 621,9
Smith & Clarke 622,2
Beta Creative 623,4
Prime Display 624,4
National Partners 628,4
Superior Creative 630,9
Thompson & Lewis 633,3
Superior International 638,2
Brown & Brown 641,2
York Systems 647,4
Leeds Manufacturing 648,1
Vanguard Holdings 650,2
NovaManu 652,4
NovaEnte 654,2
Prime Technologies 655,7
CSNE 657,2
Davies & Hall 659,2
White & Lewis 660,7
National Systems 662,0
Phoenix Communications 664,2
OZV 667,2
EasternEnte 669,4
Precision Technologies 671,9
SZ 673,9
PrecisionMark 677,2
Stellar Manufacturing 680,0
Southern Media 682,4
Lewis & Walker 684,2
PhoenixDisp 685,0
Birmingham Enterprises 687,9
UrbanMedi 689,0
Birmingham Works 692,0
UJHB 694,9
Beta Packaging 697,0
OCLU 698,9
Plymouth Graphics 700,1
Continental Works 702,3
Morgan & Wilson 703,2
Express Services 705,0
Plymouth Marketing 706,4
Hughes & Jones 714,9
FJ 715,9
ASC 718,4
Royal Enterprises 722,4
Smith & Thompson 724,2
Sigma Systems 727,0
Jones & Hughes 728,2
Smith & Taylor 729,0
MaxManu 731,2
SummitAsso 732,0
ProPack 733,4
Urban Marketing 734,9
XM 735,6
Manchester Solutions 736,4
Elite Partners 742,4
MatrixPrin 744,2
FIK 745,3
Bath Enterprises 747,4
Cambridge Creative 749,9
Horizon Productions 752,4
Alpha Marketing 754,4
IO 756,2
Summit Works 758,4
Express Enterprises 763,9
Wright & Taylor 765,4
Delta Print 771,2
Thompson & Harris 778,4
PNWU 779,4
PrimeGrou 781,0
Urban Marketing 783,4
NovaServ 784,4
Pacific Associates 785,2
NDVL 788,4
Brown & Davies 789,6
MegaComm 790,4
VertexPart 794,0
AlphaTech 796,6
Cardiff Media 798,3
OBE 801,3
Pinnacle Solutions 803,0
Beta Works 805,0
Agile Works 807,4
Belfast Media 812,4
Central Graphics 817,4
York Associates 819,4
Harris & Jackson 822,4
PhoenixSign 824,4
Wright & Mitchell 825,6
PrecisionMedi 828,2
Harris & Jones 832,2
Beta Holdings 833,6
Manchester Display 834,6
AlphaAsso 836,0
York Manufacturing 838,0
National Holdings 842,0
Bradford Signs 857,0
AtlanticTech 858,0
Bradford Manufacturing 862,9
WesternPack 864,2
King & Davies 865,2
Edinburgh Solutions 866,2
Norwich Associates 867,2
Nottingham Manufacturing 870,6
Coventry Services 871,4
Prime Works 873,9
Vertex Signs 874,4
Green & Brown 882,4
Prime International 883,2
Leeds Design 885,2
Bath Technologies 886,2
Vanguard Industries 888,2
Meridian Print 892,4
NFJI 893,2
Liverpool Media 895,4
Sheffield Print 897,0
Nova Media 899,4
Cambridge Holdings 901,4
OCU 906,9
Pro Systems 908,2
WQ 910,2
EasternSign 912,4
Manchester Display 913,9
Edinburgh Systems 917,2
Edinburgh Productions 920,4
York Group 921,0
Glasgow Productions 924,2
Max International 926,9
Global Solutions 930,2
UrbanIndu 933,9
Matrix Creative 935,9
Hughes & Hall 938,6
Newcastle International 940,2
UltraAsso 942,2
York Marketing 944,4
Precision Manufacturing 947,4
Newcastle Communications 953,2
Max Creative 955,2
Wilson & Taylor 958,9
White & Harris 961,0
Phoenix Labels 964,2
Glasgow Communications 967,2
UMNM 979,6
HAX 981,2
Leeds Holdings 983,2
Liverpool Productions 984,2
Roberts & Edwards 986,9
Phoenix Productions 991,4
Vertex Creative 996,9
AtlanticWork 998,9
Davies & Evans 000,2
Morgan & King 002,4
Southern Display 004,7
Morgan & Mitchell 005,4
Edwards & Johnson 007,2
Vector Signs 009,0
JVPQ 012,4
StellarHold 014,4
Bath Systems 018,0
Rapid International 024,7
Clarke & Brown 026,2
Delta Holdings 028,4
Leicester Works 032,4
Urban Industries 036,4
YGL 037,2
Newcastle Enterprises 038,0
Dynamic Works 040,4
York Holdings 041,9
Global Systems 042,4
Prime Media 043,4
Beta Partners 044,4
SummitDisp 045,4
Flex Print 046,4
Alpha Works 048,4
OmegaMedi 050,6
Southern Packaging 053,9
Pro Media 054,9
Titan Solutions 057,9
Edinburgh International 058,4
Vertex Holdings 061,0
MB 064,4
Belfast Print 066,2
PrimePack 068,0
Hughes & Jackson 070,4
Hall & Davies 088,4
Sigma Holdings 090,2
Morgan & Davies 091,4
Wood & Allen 094,9
Coastal Marketing 097,4
FURH 104,9
Liverpool International 107,2
Bradford Enterprises 109,9
EA 112,9
EasternGrou 117,9
UrbanGrou 119,2
Continental Creative 121,4
Metro Creative 123,2
Coastal Services 125,4
Leicester Creative 127,2
Norwich Industries 129,4
QuantumIndu 137,9
XKBZ 139,9
Edinburgh Display 141,2
Cardiff Holdings 151,4
Chester Print 152,2
WesternMark 154,9
YRXC 159,9
Agile Graphics 160,9
Manchester Communications 162,4
OQ 164,4
Johnson & Jones 169,3
Oxford International 172,7
EW 175,4
Atlas Design 177,2
Meridian Systems 178,9
Pinnacle Services 179,9
Chester Print 180,2
Ultra Communications 181,4
NexusMark 184,4
Oxford Signs 188,9
SouthernSolu 190,4
Sterling Enterprises 194,2
Gamma Communications 202,2
Taylor & Green 214,4
VertexServ 220,9
Glasgow Creative 223,2
RapidMedi 224,4
ZBYT 226,6
Atlantic Holdings 227,6
EMO 228,0
SouthernDisp 231,4
Apex Creative 233,9
AtlanticSolu 236,4
Wood & Edwards 240,2
Clarke & King 242,4
Leicester Solutions 244,2
Flex Manufacturing 248,2
Taylor & Green 250,9
Eastern Industries 253,2
Pinnacle Print 257,6
SummitDisp 266,4
PinnacleSyst 272,2
JWU 286,2
Green & Wood 287,2
Roberts & Davies 290,7
Nexus Labels 296,2
National Enterprises 302,9
Oxford Labels 304,9
EZM 307,9
Birmingham Technologies 311,4
Rapid Packaging 313,2
SwiftPart 316,4
Bristol Solutions 324,2
Ultra Industries 325,0
Atlas International 327,9
ExpressInte 339,0
Southampton Display 341,0
Edinburgh Enterprises 344,4
Morgan & Roberts 345,9
Metro Manufacturing 347,0
FlexIndu 349,9
JRG 351,4
WC 353,4
Eastern Packaging 358,9
Premier Design 360,5
Evans & Walker 361,9
Agile Associates 363,2
Continental Services 364,2
Stellar Graphics 366,0
VCIB 369,4
York Marketing 375,9
Baker & Davies 378,0
Newcastle International 379,4
National Creative 383,2
Birmingham Marketing 403,4
MCP 405,4
EasternIndu 406,2
GammaGrou 408,0
KWB 410,2
Cardiff Associates 415,7
MaxGrap 417,1
Lee & Jackson 418,4
Mega Manufacturing 420,9
Birmingham Solutions 429,4
Green & Taylor 430,2
Bristol Works 433,4
Pro Solutions 434,9
Pacific Services 436,4
Walker & Wood 437,4
Sterling Group 438,4
Norwich Holdings 439,4
Ultra Productions 443,4
Superior Labels 453,2
Stellar Group 462,2
Ultra Holdings 464,3
