company,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type
Metro Solutions,Horizon Technologies,13795088,ltd,dissolved,62011,Information & Communication,2021-12-10,4.1,Suffolk,null
Prime Graphics,Brighton Creative,03737151,ltd,active,46900,Wholesale & Retail,1999-03-22,26.9,Gillingham,full
Morgan & Edwards,Apex Productions,11775585,ltd,active,43210,Construction,2019-01-18,7.0,Bucks.,total-exemption-full
Nova Partners,Vector Productions,09987753,ltd,active,86900,Health & Social,2016-02-04,10.0,Coventry,micro-entity
CBM,Bath Graphics,03386045,ltd,active,82990,Administrative Services,1997-06-12,28.6,Buckinghamshire,total-exemption-full
RapidEnte,NexusWork,05864619,ltd,active,82990,Administrative Services,2006-07-03,19.6,Warwickshire,micro-entity
Swift Labels,Agile Graphics,11548024,ltd,active,59200,Information & Communication,2018-09-03,7.4,Cambridgeshire,total-exemption-full
QG,Lewis & Brown,16736145,ltd,active,"16100,31090",Manufacturing,2025-09-23,0.4,Maidstone,
Quantum Solutions,Pacific Graphics,16209859,ltd,active,"81210,81299",Administrative Services,2025-01-27,1.0,Bristol,
Brighton Enterprises,Leeds Group,15563488,ltd,active,"35300,43220",Energy,2024-03-14,1.9,Buckinghamshire,total-exemption-full
Newcastle Labels,Nexus Holdings,13262414,ltd,active,46140,Wholesale & Retail,2021-03-12,4.9,London,total-exemption-full
Belfast Systems,Pacific Partners,15195297,ltd,active,18129,Manufacturing,2023-10-08,2.3,Oxfordshire,micro-entity
Southampton Signs,Prime Labels,02581201,ltd,dissolved,73110,Professional Services,1991-02-08,35.0,London,audit-exemption-subsidiary
Harris & Johnson,Matrix Graphics,16431271,ltd,active,68209,Real Estate,2025-05-06,0.7,Barrow-In-Furness,
Nexus International,JNR,03662968,ltd,liquidation,2524,Manufacturing,1998-11-02,27.3,West Midlands,total-exemption-small
VOTE,Belfast Partners,05778445,ltd,dissolved,46180,Wholesale & Retail,2006-04-12,19.8,Rugby,total-exemption-small
Edwards & Taylor,NexusHold,12087691,ltd,active,72190,Professional Services,2019-07-05,6.6,Banbury,micro-entity
Glasgow Industries,Metro Associates,16233879,ltd,active,47910,Wholesale & Retail,2025-02-06,1.0,Sheffield,
Belfast Media,Eastern Design,03657802,ltd,dissolved,63990,Information & Communication,1998-10-28,27.3,Herts,dormant
Edwards & Martin,Superior Manufacturing,11563812,ltd,active,18129,Manufacturing,2018-09-11,7.4,High Peak,total-exemption-full
Leeds Services,Horizon Associates,03260753,ltd,active,"17230,17290,18110,18129",Manufacturing,1996-10-09,29.3,Dorset,small
Flex Enterprises,AlphaSolu,06620187,ltd,active,68100,Real Estate,2008-06-13,17.6,Lancashire,micro-entity
Nottingham Design,PremierSyst,10748371,ltd,active,70229,Professional Services,2017-05-02,8.8,North Shields,micro-entity
Rapid Marketing,Precision Creative,06684190,ltd,active,47630,Wholesale & Retail,2008-08-29,17.4,London,total-exemption-full
Omega Labels,Sigma Marketing,16380409,ltd,active,47990,Wholesale & Retail,2025-04-10,0.8,Nottingham,
Apex Associates,GlobalComm,03092005,ltd,active,96090,Other Services,1995-08-16,30.5,Bishop's Stortford,total-exemption-full
Bradford Communications,UrbanSign,06438960,ltd,active,74100,Professional Services,2007-11-27,18.2,London,unaudited-abridged
ZG,Gamma Display,16333820,ltd,active,"70229,78300,85600",Professional Services,2025-03-21,0.9,Croydon,
ZDZ,Zenith Signs,13244189,ltd,active,"69201,69202",Professional Services,2021-03-04,4.9,Leighton Buzzard,micro-entity
White & Baker,Wilson & Taylor,10963231,ltd,active,"85520,90010",Education,2017-09-14,8.4,Preston,micro-entity
Leicester Industries,Thompson & Martin,OE004492,registered-overseas-entity,registered,,,2022-11-21,3.2,St. Peter Port,
Oxford Graphics,Thomas & Martin,15935159,ltd,active,55100,Accommodation & Food,2024-09-04,1.4,London,
AlphaDesi,Ultra Holdings,07020478,ltd,dissolved,99999,International Organisations,2009-09-16,16.4,Bristol,micro-entity
IB,Continental Creative,16491990,ltd,active,78109,Administrative Services,2025-06-03,0.7,Welwyn Garden City,
Davies & Davies,Agile Packaging,04455760,ltd,active,17219,Manufacturing,2002-06-06,23.7,Wiltshire,total-exemption-full
Bath Print,Stellar Solutions,09479373,ltd,active,17211,Manufacturing,2015-03-09,10.9,Lancashire,total-exemption-full
Davies & Taylor,Southern Services,13915584,ltd,active,64209,Financial Services,2022-02-14,4.0,Banbury,micro-entity
Mega Associates 353,Max Packaging,09102021,ltd,dissolved,41100,Construction,2014-06-25,11.6,Northampton,total-exemption-full
Express International,NovaEnte,01379742,ltd,active,18129,Manufacturing,1978-07-21,47.5,Northamptonshire,total-exemption-full
PJ,King & Allen,02625538,ltd,active,"82190,82990",Administrative Services,1991-07-01,34.6,Surrey,total-exemption-full
Lewis & Morgan 359,King & Wilson,16762372,ltd,active,82990,Administrative Services,2025-10-03,0.3,Dorset,
Allen & Martin,Roberts & Lee,09740227,ltd,dissolved,82990,Administrative Services,2015-08-19,10.5,Oxon,micro-entity
Cambridge Manufacturing,Taylor & Mitchell,07107563,ltd,liquidation,47190,Wholesale & Retail,2009-12-17,16.1,Northampton,micro-entity
Gamma Labels,Horizon Communications,01352705,ltd,active,73110,Professional Services,1978-02-13,48.0,Barnstaple,audit-exemption-subsidiary
Matrix Display,TIC,03668832,ltd,active,99999,International Organisations,1998-11-17,27.2,Northamptonshire,micro-entity
JUAN,Jackson & Thompson,SC511912,ltd,active,82990,Administrative Services,2015-07-29,10.5,Edinburgh,micro-entity
Bath Technologies,Wood & Thompson,00243547,ltd,active,29201,Manufacturing,1929-10-31,96.3,Oxfordshire,total-exemption-full
MetroDesi,Brown & Wilson 380,11700037,ltd,active,68209,Real Estate,2018-11-27,7.2,Basildon,total-exemption-full
Edwards & Smith,Hall & Walker,04819160,ltd,active,73110,Professional Services,2003-07-03,22.6,Aylesbury,total-exemption-full
QQ,Nova Media,13369662,ltd,active,69201,Professional Services,2021-04-30,4.8,Leeds,micro-entity
Prime Associates,CX,07068334,ltd,active,68209,Real Estate,2009-11-06,16.2,London,micro-entity
National Manufacturing,Lewis & Clarke,01896778,ltd,active,47620,Wholesale & Retail,1985-03-19,40.9,Northolt  Middlesex,total-exemption-full
Vanguard Group,Pinnacle Enterprises,04682558,ltd,active,62012,Information & Communication,2003-02-28,22.9,,total-exemption-full
Smith & Wilson,"PAY WEEKLY CARPETS HERTS, BEDS AND BUCKS LTD",11660794,ltd,dissolved,47530,Wholesale & Retail,2018-11-05,7.2,Aylesbury,null
Sigma Group,FlexPart 743,CE038886,charitable-incorporated-organisation,,,,,,,
Bristol Solutions,SwiftSolu 085,11984186,ltd,active,"59112,63120,74209",Information & Communication,2019-05-08,6.7,Essex,dormant
Birmingham Technologies,Global Works,09832698,ltd,active,70210,Professional Services,2015-10-20,10.3,Kent,total-exemption-full
Swift Design,Nottingham Enterprises,06560609,ltd,liquidation,47910,Wholesale & Retail,2008-04-09,17.8,Essex,unaudited-abridged
Sigma International,Birmingham Display,04279526,ltd,dissolved,99999,International Organisations,2001-08-31,24.4,Wembley,dormant
Belfast Holdings,ZW,05748734,ltd,active,99999,International Organisations,2006-03-20,19.9,Yorkshire,dormant
Horizon Partners,Wood & Hall,02595613,ltd,active,26110,Manufacturing,1991-03-26,34.9,Surrey,small
Thompson & Harris,Morgan & Hall,09411068,ltd,liquidation,47910,Wholesale & Retail,2015-01-28,11.0,Taunton,total-exemption-full
Belfast Marketing,Baker & Martin,14922247,ltd,active,"47910,47990",Wholesale & Retail,2023-06-07,2.7,Bolton,micro-entity
Nottingham Labels,National Packaging,03055369,ltd,active,18129,Manufacturing,1995-05-11,30.7,Oxfordshire,total-exemption-full
Pinnacle International,CC,02978057,ltd,active,32990,Manufacturing,1994-10-12,31.3,Hampshire,total-exemption-full
Plymouth Technologies,,,,,,,,,,
Meridian Labels,Max Works,07848715,ltd,dissolved,73120,Professional Services,2011-11-15,14.2,Birmingham,dormant
Birmingham Manufacturing,Smith & Harris,04922598,ltd,active,86900,Health & Social,2003-10-06,22.3,Bolton,micro-entity
Evans & Thompson,Beta Industries 444,06692518,ltd,dissolved,,,2008-09-09,17.4,Middlesex,null
Johnson & Hughes 446,MeridianManu,04209057,ltd,dissolved,"6024,7450",Information & Communication,2001-05-01,24.8,Southampton,total-exemption-small
Edwards & Green,Rapid Graphics 452,08397918,plc,active,64209,Financial Services,2013-02-11,13.0,Epping,dormant
DeltaPart 453,Meridian Print,00663439,ltd,dissolved,32990,Manufacturing,1960-06-28,65.6,Leeds,total-exemption-full
Precision International 456,PrecisionPrin,SC011371,private-limited-guarant-nsc,active,99999,International Organisations,1920-08-05,105.5,Edinburgh,dormant
Cambridge Packaging 459,White & Roberts,04111940,ltd,dissolved,74990,Professional Services,2000-11-21,25.2,Hampshire,dormant
Summit Industries,Agile Signs,04629314,ltd,dissolved,4521,Wholesale & Retail,2003-01-06,23.1,Liverpool,total-exemption-small
Edinburgh Marketing,Southern Technologies,02186583,ltd,active,"18140,68209",Manufacturing,1987-11-02,38.3,Bath,micro-entity
Elite Services,Phoenix Enterprises,01475537,ltd,active,68320,Real Estate,1980-01-28,46.0,Nottinghamshire,total-exemption-full
Zenith Creative,JYQ,04715830,ltd,active,82990,Administrative Services,2003-03-28,22.9,Bedfordshire,total-exemption-full
Delta Holdings,GlobalInte,OE008067,registered-overseas-entity,registered,,,2022-12-15,3.1,Grand Cayman,
Omega Holdings,Norwich Productions,13657537,ltd,active,18129,Manufacturing,2021-10-02,4.3,Bedford,total-exemption-full
QZIZ,Chester Associates 477,12984619,ltd,active,"41201,70229,78200",Construction,2020-10-29,5.3,Barking,micro-entity
Northern Media,Baker & Taylor,11179285,ltd,active,"46900,47990",Wholesale & Retail,2018-01-31,8.0,Coventry,dormant
Green & Thompson,Oxford Technologies,06418404,ltd,dissolved,82990,Administrative Services,2007-11-05,18.2,London,dormant
GlobalProd,Walker & Harris,02617733,ltd,active,18129,Manufacturing,1991-06-05,34.7,Berkshire,total-exemption-full
Bradford Systems,Pro Solutions,SC579739,ltd,active,"28490,33190",Manufacturing,2017-10-24,8.3,Roxburghshire,total-exemption-full
Bradford International,,,,,,,,,,
Chester Holdings,Western Design,13582180,ltd,dissolved,18129,Manufacturing,2021-08-24,4.4,Berkshire,dormant
Edinburgh Associates,DynamicWork,07902333,ltd,active,70229,Professional Services,2012-01-09,14.1,Essex,micro-entity
Max Enterprises,PM,SO305915,llp,active,,,2016-12-28,9.1,Glasgow,dormant
WesternMedi,Sheffield Manufacturing,01652053,ltd,active,94990,Other Services,1982-07-16,43.6,London,small
Taylor & Roberts,Wilson & Wright,13171115,ltd,active,58190,Information & Communication,2021-02-01,5.0,Hereford,micro-entity
Vanguard Industries 506,EZE,06729521,ltd,active,68209,Real Estate,2008-10-21,17.3,Cheshire,total-exemption-full
Sigma Design,PrimeInte 509,03928078,ltd,active,32990,Manufacturing,2000-02-17,26.0,West Midlands,total-exemption-full
Urban Creative,Omega Enterprises,SC378314,ltd,active,73110,Professional Services,2010-05-11,15.7,Glasgow,total-exemption-full
Mega Works,Allen & Davies,00435914,ltd,active,55900,Accommodation & Food,1947-05-29,78.7,Oxfordshire,micro-entity
Jones & White,Liverpool Print,07029596,ltd,active,28990,Manufacturing,2009-09-24,16.4,Northamptonshire,unaudited-abridged
HTLN,UUN,01577387,ltd,active,71122,Professional Services,1981-07-31,44.5,Surrey,micro-entity
Vector Display,JY,01712854,ltd,active,18129,Manufacturing,1983-04-07,42.8,Berkshire,unaudited-abridged
Liverpool Services,HorizonPart,01628715,ltd,active,18129,Manufacturing,1982-04-14,43.8,Warwickshire,micro-entity
Sterling Partners,Portsmouth Creative,OE027624,registered-overseas-entity,registered,,,2023-02-24,2.9,Gibraltar,
VertexGrou,CentralPrin,13291204,ltd,dissolved,47429,Wholesale & Retail,2021-03-25,4.9,Slough,null
QUDH 530,MegaCrea,02538344,ltd,active,62090,Information & Communication,1990-09-10,35.4,Abingdon,unaudited-abridged
Allen & Taylor,Vanguard Creative,02860415,ltd,active,"55209,56290",Accommodation & Food,1993-10-08,32.3,Cambridge,small
Southern Design,Atlantic Holdings,15352506,ltd,active,41202,Construction,2023-12-14,2.1,Leeds,dormant
NationalMedi,Chester Packaging,05272069,ltd,active,18129,Manufacturing,2004-10-28,21.3,Middlesex,total-exemption-full
Premier Enterprises,Chester Marketing,03962585,ltd,active,74100,Professional Services,2000-04-03,25.8,Oxfordshire,micro-entity
Apex Enterprises 542,Express Labels,NI610849,ltd,active,58110,Information & Communication,2012-01-25,14.0,County Down,micro-entity
TJB,Swift Technologies 548,05555251,ltd,active,"18129,82990",Manufacturing,2005-09-06,20.4,Surrey,total-exemption-full
HorizonGrap,Western Holdings,07927043,ltd,dissolved,18129,Manufacturing,2012-01-27,14.0,Middlesex,total-exemption-small
Omega International,Omega Signs,02589514,ltd,active,82990,Administrative Services,1991-03-07,34.9,Gloucestershire,full
Lee & Wilson 552,Hall & Clarke,12095324,ltd,active,70229,Professional Services,2019-07-10,6.6,Herts,total-exemption-full
KVMA,Roberts & Wright,09587645,ltd,active,99999,International Organisations,2015-05-12,10.7,Southampton,micro-entity
NovaHold,Meridian Manufacturing,SC659921,ltd,active,47990,Wholesale & Retail,2020-04-27,5.8,Glasgow,total-exemption-full
Edinburgh Technologies,Edinburgh Industries,05921177,ltd,active,82990,Administrative Services,2006-08-31,19.4,Oxon,total-exemption-full
RJU,Vertex Technologies,07670221,ltd,active,46342,Wholesale & Retail,2011-06-15,14.6,Oxfordshire,total-exemption-full
Glasgow Enterprises,OI,02008952,ltd,active,74990,Professional Services,1986-04-10,39.8,Swindon,unaudited-abridged
Max Associates,,,,,,,,,,
Brighton Signs 567,Prime Technologies,08391124,ltd,active,17230,Manufacturing,2013-02-06,13.0,Berkshire,dormant
QUB,Thompson & Wright,00979640,ltd,dissolved,"27900,32990",Manufacturing,1970-05-14,55.7,Essex,small
Plymouth International,Summit Creative,03685161,ltd,active,32500,Manufacturing,1998-12-17,27.1,Hampshire,full
Jackson & Hughes,LBD,OE027059,registered-overseas-entity,registered,,,2023-02-20,3.0,St Peter Port,
Eastern Holdings,UltraEnte,05978089,ltd,active,96090,Other Services,2006-10-25,19.3,Cheshire,total-exemption-full
Edwards & Green 581,Precision Design,10694264,ltd,active,46190,Wholesale & Retail,2017-03-28,8.9,Wokingham,micro-entity
Stellar Systems,Atlas Signs,12440405,ltd,active,96020,Other Services,2020-02-04,6.0,London,total-exemption-full
York Associates,Roberts & Walker 903,12574645,ltd,dissolved,47530,Wholesale & Retail,2020-04-27,5.8,Lancashire,null
Edwards & Evans,Zenith International,NI642773,ltd,active,81210,Administrative Services,2016-12-16,9.1,Down,total-exemption-full
ZZRS 587,Sheffield Services 096,15188011,ltd,active,"14132,14190,74100",Manufacturing,2023-10-04,2.3,London,total-exemption-full
Coventry Associates,Vector Holdings,SC477624,ltd,active,74100,Professional Services,2014-05-14,11.7,Glasgow,unaudited-abridged
AlphaSyst,Precision Marketing,10693828,ltd,active,66300,Financial Services,2017-03-28,8.9,Northamptonshire,total-exemption-full
EJFZ,QuantumDisp,06996920,ltd,active,68209,Real Estate,2009-08-20,16.5,London,total-exemption-full
Vertex Media 593,EasternEnte,02998017,ltd,active,96030,Other Services,1994-12-05,31.2,West Sussex,group
Cambridge Media,National International 597,08909099,ltd,dissolved,"13300,47910",Manufacturing,2014-02-24,11.9,Nottingham,micro-entity
Sheffield Works,Cambridge Solutions,04724531,ltd,active,82990,Administrative Services,2003-04-06,22.8,Ascot,total-exemption-full
Coventry Solutions,Alpha Group,06823300,ltd,active,32990,Manufacturing,2009-02-18,17.0,Leicester,micro-entity
VOV,Prime Holdings,15486104,ltd,dissolved,73110,Professional Services,2024-02-13,2.0,London,
StellarHold,Smith & Edwards 613,12394027,ltd,active,62020,Information & Communication,2020-01-09,6.1,Bideford,unaudited-abridged
DynamicAsso,WJ,14717356,ltd,active,"68100,68201,68209,68320",Real Estate,2023-03-08,2.9,Penarth,dormant
Urban Enterprises,Liverpool Industries,03492947,ltd,active,82990,Administrative Services,1998-01-15,28.0,London,total-exemption-full
Nottingham Services,Rapid Holdings 631,12997428,ltd,dissolved,70100,Professional Services,2020-11-04,5.2,Devon,dormant
Roberts & Hall,Zenith Labels,12325844,ltd,dissolved,10710,Manufacturing,2019-11-20,6.2,Sheffield,null
Stellar Technologies,Pacific Manufacturing,14162816,ltd,active,64209,Financial Services,2022-06-09,3.7,Leicester,micro-entity
Cardiff Communications,Leeds Display 279,05270864,ltd,active,46499,Wholesale & Retail,2004-10-27,21.3,Oxfordshire,full
UrbanCrea 655,UrbanCrea 655,13654141,ltd,active,"46190,70210,82990",Wholesale & Retail,2021-09-30,4.3,London,micro-entity
QuantumGrap,Glasgow Systems,01487784,ltd,liquidation,"17230,18129,47990",Manufacturing,1980-03-27,45.9,Wiltshire,total-exemption-full
Edwards & Baker 660,BetaGrap,15845287,ltd,dissolved,"64209,70229",Financial Services,2024-07-17,1.5,Greenford,
Bradford Solutions 663,Green & Evans,04968528,ltd,active,63110,Information & Communication,2003-11-18,22.2,West Midlands,unaudited-abridged
Oxford Industries,Bath Works,SC038501,ltd,active,68209,Real Estate,1963-03-05,62.9,Edinburgh,total-exemption-full
Nottingham Partners,Quantum Partners,08607111,ltd,active,"50200,51210",Transport & Storage,2013-07-12,12.6,Essex,micro-entity
Edwards & Walker,AlphaServ,SC492575,ltd,active,"17219,17230",Manufacturing,2014-12-02,11.2,Aberdeen,total-exemption-full
Thompson & Allen,Alpha Media,02834888,ltd,active,22290,Manufacturing,1993-07-09,32.6,Stonehouse,micro-entity
Royal Services,Dynamic Partners,06292832,ltd,active,68209,Real Estate,2007-06-26,18.6,Carlisle,dormant
HCTG,Superior Group,16446499,ltd,active,64209,Financial Services,2025-05-13,0.7,Grantham,
UET,Leicester Display 429,14126866,ltd,active,64209,Financial Services,2022-05-24,3.7,London,micro-entity
Express Enterprises,Western Associates,10484129,ltd,active,18129,Manufacturing,2016-11-17,9.2,London,total-exemption-full
Clarke & Davies,Norwich Services 698,09345089,ltd,dissolved,"86101,86220",Health & Social,2014-12-08,11.2,Sheffield,micro-entity
Quantum Print,Quantum Signs,08773822,ltd,active,74100,Professional Services,2013-11-13,12.2,Hertfordshire,micro-entity
WesternAsso,Cambridge Print,16050917,ltd,dissolved,"78200,86900,88910,98000",Administrative Services,2024-10-30,1.3,Enfield,
Mitchell & Allen,OmegaAsso,00421330,ltd,active,99999,International Organisations,1946-10-11,79.3,York,dormant
Martin & Mitchell,PFD,01423228,ltd,active,70229,Professional Services,1979-05-25,46.7,Amersham,micro-entity
Gamma Enterprises,Phoenix Holdings 161,00961186,ltd,active,17230,Manufacturing,1969-08-29,56.4,Bristol,total-exemption-full
Mega Communications,UVTR,09163983,ltd,dissolved,,,2014-08-06,11.5,London,null
Superior Signs,Manchester Marketing 720,04493330,ltd,active,74100,Professional Services,2002-07-24,23.5,Kent,total-exemption-full
Atlantic Signs,Roberts & Lewis 723,08855970,ltd,active,17120,Manufacturing,2014-01-22,12.0,Buckinghamshire,total-exemption-full
Stellar Print,Wood & Taylor,15564894,ltd,active,47910,Wholesale & Retail,2024-03-15,1.9,Warwickshire,micro-entity
