company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,std_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_unit_price,median_unit_price,max_unit_price,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,website_domain,has_https,http_status,domain_variant,orders_per_company_year,value_quintile,frequency_tier,is_active_12m,is_active_6m,is_churned,ch_matched,recency_days_missing,first_order_days_ago_missing,avg_days_between_orders_missing,std_days_between_orders_missing,min_days_between_orders_missing,max_days_between_orders_missing,avg_quantity_missing,avg_unit_price_missing,avg_margin_missing,revenue_trend_slope_missing,revenue_trend_pct_missing,company_age_years_missing,officer_count_missing,active_officer_count_missing,filing_count_missing,recent_filing_days_missing,annual_accounts_count_missing,charge_count_missing,psc_count_missing,median_quantity_missing,max_quantity_missing,min_quantity_missing,std_quantity_missing,median_unit_price_missing,max_unit_price_missing,median_margin_missing,peak_month_missing,director_count_missing,secretary_count_missing,http_status_missing
Manchester Signs,499.0,499.0,0,1,451.80900900900906,451.80900900900906,451.80900900900906,0.0,451.80900900900906,451.80900900900906,43.25,84.75996629996197,0.0,170.0,1.0,2000.0,2000.0,2000.0,2000.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,9.0,1,0.0,0.0,0.0,451.80900900900906,0.0,0.0,100.0,0.0,PrecisionDesi,09113327,ltd,active,99999,International Organisations,2014-07-02,11.6,West Sussex,small,4.0,3.0,3.0,0.0,32.0,118.0,12.0,False,0.0,1.0,True,acopia.co.uk,True,200.0,co.uk,0.0862068965517241,1,one_time,False,False,False,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dynamic Print,2114.0,2261.0,147,4,3106.826666666667,776.7066666666667,778.0333333333333,442.3563815815545,1195.56,355.20000000000005,49.0,84.870489570875,0.0,147.0,9.93877551020408,210.0,90.0,580.0,80.0,246.84678108764825,7.133132586206898,5.9342500000000005,14.34672,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,32.75,4.0,2,715.7066666666019,46.07316361388696,0.0,3106.826666666667,0.0,0.0,100.0,0.0,EM,02320991,ltd,liquidation,18129,Manufacturing,1988-11-23,37.2,Cardiff,total-exemption-full,16.0,3.0,2.0,1.0,150.0,165.0,27.0,True,10.0,8.0,True,acornpress.co.uk,True,403.0,co.uk,0.1075268817204301,3,regular,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigma Signs,970.0,970.0,0,3,12477.247766666667,4159.082588888889,4866.714633333333,1230.5640923977053,4872.3798,2738.1533333333336,0.0,0.0,0.0,0.0,3.0,300.0,300.0,300.0,300.0,0.0,9.948623777777778,9.948623777777778,9.948623777777778,8.333333333333334,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.333333333333333,9,100.0,33.33333333333333,100.0,100.0,100.0,33.33333333333333,33.33333333333333,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,31.666666666666668,5.0,1,0.0,0.0,0.0,12477.247766666667,0.0,0.0,100.0,0.0,Mega Technologies,13075831,ltd,active,46499,Wholesale & Retail,2020-12-10,5.1,Hereford,total-exemption-full,4.0,4.0,3.0,1.0,32.0,132.0,4.0,False,0.0,3.0,False,Unknown,False,301.0,Unknown,0.5882352941176471,4,occasional,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RMEF,590.0,1318.0,728,4,5687.430769230769,1421.8576923076923,1302.715384615385,444.3990802695013,2030.0,1052.0,242.66666666666663,415.1256837794228,0.0,722.0,2.006868131868132,3125.0,2500.0,6500.0,1000.0,2393.567769390845,4.9180347304778556,4.311950133333333,6.693107291666667,27.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,6.0,1,319.515384615293,11.23584260027864,0.0,5687.430769230769,0.0,0.0,100.0,0.0,Gamma Communications,NI602411,ltd,dissolved,Unknown,Unknown,2010-03-08,15.9,County Down,Unknown,3.0,2.0,2.0,0.0,16.0,3492.0,0.0,False,0.0,0.0,True,actionpress.co.uk,True,301.0,co.uk,0.2515723270440251,4,regular,False,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
EYCE,1578.0,1578.0,0,1,1183.6222222222225,1183.6222222222225,1183.6222222222225,0.0,1183.6222222222225,1183.6222222222225,43.25,84.75996629996197,0.0,170.0,1.0,100.0,100.0,100.0,100.0,0.0,15.387088888888888,15.387088888888888,15.387088888888888,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,31.0,9.0,1,0.0,0.0,0.0,1183.6222222222225,0.0,0.0,100.0,0.0,Bath Group,05376058,ltd,dissolved,18129,Manufacturing,2005-02-25,20.9,Cheshire,total-exemption-full,5.0,3.0,2.0,1.0,51.0,923.0,17.0,False,0.0,2.0,False,Unknown,False,301.0,Unknown,0.0478468899521531,2,one_time,False,False,True,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bradford Partners,2123.0,2514.0,391,5,5897.869816666666,1179.5739633333333,303.83213333333333,1863.7660135625624,4447.533333333333,79.23493333333333,97.75,125.96924227762902,0.0,264.0,4.670716112531969,284.6,21.0,1000.0,1.0,434.58520453416264,5.781793333333333,5.781793333333333,5.781793333333333,22.0,20.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,60.0,5.6,8,100.0,20.0,100.0,20.0,20.0,80.0,40.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,25.6,3.0,3,-3763.330983332992,-127.61661753530991,0.0,5897.869816666666,0.0,0.0,100.0,0.0,Alpha Industries,00579219,ltd,active,46190,Wholesale & Retail,1957-02-28,68.9,Gloucestershire,total-exemption-full,11.0,2.0,2.0,0.0,180.0,98.0,25.0,True,13.0,1.0,True,adglow.co.uk,True,200.0,co.uk,0.0725689404934687,4,regular,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Media,934.0,934.0,0,2,2962.898333333333,1481.4491666666663,1481.4491666666663,189.38558771649488,1615.3649999999998,1347.5333333333333,0.0,84.75996629996197,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,3.3399564166666664,3.3399564166666664,3.7153395,12.5,12.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,37.5,7.0,1,0.0,0.0,0.0,2962.898333333333,0.0,0.0,100.0,0.0,Agile Productions,06516296,ltd,active,74100,Professional Services,2008-02-27,17.9,Surrey,micro-entity,3.0,1.0,1.0,0.0,53.0,27.0,18.0,False,0.0,2.0,True,adovation.co.uk,True,200.0,co.uk,0.111731843575419,3,occasional,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetroAsso,2382.0,2382.0,0,1,1081.3176649659863,1081.3176649659863,1081.3176649659863,0.0,1081.3176649659863,1081.3176649659863,43.25,84.75996629996197,0.0,170.0,1.0,10000.0,10000.0,10000.0,10000.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21.0,7.0,1,0.0,0.0,0.0,1081.3176649659863,0.0,0.0,100.0,0.0,,,,,Unknown,Unknown,Unknown,14.0,Unknown,Unknown,3.0,2.0,1.0,0.0,36.0,127.0,11.0,0,0.0,1.0,False,Unknown,False,301.0,Unknown,1.0,2,one_time,False,False,True,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
Dynamic Systems,2534.0,2534.0,0,1,211.52475,211.52475,211.52475,0.0,211.52475,211.52475,43.25,84.75996629996197,0.0,170.0,1.0,300.0,300.0,300.0,300.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,2.0,1,0.0,0.0,0.0,211.52475,0.0,0.0,100.0,0.0,Max Design,08158090,ltd,dissolved,43390,Construction,2012-07-26,13.5,Essex,total-exemption-small,1.0,1.0,1.0,0.0,13.0,3583.0,1.0,False,0.0,0.0,False,Unknown,False,301.0,Unknown,0.074074074074074,1,one_time,False,False,True,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
King & Johnson,451.0,683.0,232,2,1100.4944,550.2472,550.2472,218.79694003271612,704.9599999999999,395.5344,232.0,84.75996629996197,232.0,232.0,3.148706896551724,100.0,100.0,100.0,100.0,0.0,7.754559999999999,7.754559999999999,7.754559999999999,15.0,15.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,7.0,9,100.0,50.0,100.0,50.0,50.0,100.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.0,3.0,2,0.0,0.0,0.0,1100.4944,0.0,0.0,100.0,0.0,Western Works,11482600,ltd,active,47990,Wholesale & Retail,2018-07-25,7.5,West Sussex,micro-entity,1.0,1.0,1.0,0.0,18.0,5.0,8.0,False,0.0,1.0,True,agproducts.co.uk,True,200.0,co.uk,0.2666666666666666,2,occasional,False,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Graphics,235.0,2495.0,2260,7,9917.612222222222,1416.801746031746,1454.01,671.3000792660276,2603.5,609.62,376.6666666666667,436.1268928496231,0.0,1151.0,1.1313053097345134,2750.0,1200.0,13200.0,400.0,4664.493541639864,2.05172,2.05172,2.2745800000000003,25.571428571428573,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42.857142857142854,6.428571428571429,9,100.0,57.14285714285714,100.0,28.57142857142857,28.57142857142857,28.57142857142857,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18.285714285714285,3.0,4,-759.2148113207966,-38.27608875549888,1454.01,8463.602222222222,14.660887796580964,0.0,100.0,0.0,VanguardInte,10988994,ltd,dissolved,56302,Accommodation & Food,2017-09-29,8.3,London,Unknown,1.0,1.0,1.0,0.0,3.0,2526.0,0.0,False,0.0,1.0,True,aldine.co.uk,True,200.0,co.uk,0.8433734939759036,4,regular,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zenith Manufacturing,1288.0,1317.0,29,4,10264.967875,2566.24196875,2675.954761904762,1734.792053809059,4110.52380952381,802.5345416666667,9.666666666666666,16.74315780649915,0.0,29.0,50.37931034482759,2225.0,2300.0,4000.0,300.0,2053.249457161339,4.9180347304778556,4.311950133333333,6.693107291666667,12.5,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.5,7,100.0,25.0,100.0,75.0,75.0,50.0,100.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.0,6.0,2,0.0,0.0,0.0,10264.967875,0.0,0.0,100.0,0.0,Sterling Solutions,03910040,ltd,dissolved,32990,Manufacturing,2000-01-20,26.0,Hereford,dormant,9.0,1.0,1.0,0.0,55.0,3877.0,14.0,False,0.0,0.0,True,allpaycards.com,True,405.0,com,0.1538461538461538,4,regular,False,False,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AtlanticEnte,2569.0,2569.0,0,2,800.1299285714285,400.06496428571427,400.06496428571427,21.277028240536392,415.11009523809525,385.01983333333334,0.0,84.75996629996197,0.0,0.0,2.0,150.0,150.0,150.0,150.0,0.0,2.667099761904762,2.667099761904762,2.767400634920635,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,28.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,26,26.0,1.0,1,0.0,0.0,0.0,800.1299285714285,0.0,100.0,0.0,0.0,Hall & Smith,03886746,ltd,active,58142,Information & Communication,1999-12-01,26.2,Hampshire,total-exemption-full,6.0,4.0,3.0,1.0,69.0,97.0,27.0,True,1.0,2.0,False,Unknown,False,301.0,Unknown,0.0763358778625954,2,occasional,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
