company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,std_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_unit_price,median_unit_price,max_unit_price,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct
Dynamic Print,2114.0,2261.0,147,4,3106.826666666667,776.7066666666667,778.0333333333333,442.3563815815545,1195.56,355.20000000000005,49.0,84.870489570875,0.0,147.0,9.938775510204081,210.0,90.0,580.0,80.0,246.84678108764825,7.133132586206898,5.9342500000000005,14.34672,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,32.75,4.0,2,715.7066666666019,46.07316361388696,0.0,3106.826666666667,0.0,0.0,100.0,0.0
Sigma Signs,970.0,970.0,0,3,12477.247766666667,4159.082588888889,4866.714633333333,1230.5640923977053,4872.3798,2738.1533333333336,0.0,0.0,0.0,0.0,3.0,300.0,300.0,300.0,300.0,0.0,9.948623777777778,9.948623777777778,9.948623777777778,8.333333333333334,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.333333333333333,9,100.0,33.33333333333333,100.0,100.0,100.0,33.33333333333333,33.33333333333333,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,31.666666666666668,5.0,1,0.0,0.0,0.0,12477.247766666667,0.0,0.0,100.0,0.0
RMEF,590.0,1318.0,728,4,5687.430769230769,1421.8576923076923,1302.7153846153847,444.3990802695013,2030.0,1052.0,242.66666666666666,415.1256837794228,0.0,722.0,2.006868131868132,3125.0,2500.0,6500.0,1000.0,2393.567769390845,,,,27.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,6.0,1,319.515384615293,11.235842600278641,0.0,5687.430769230769,0.0,0.0,100.0,0.0
EYCE,1578.0,1578.0,0,1,1183.6222222222223,1183.6222222222223,1183.6222222222223,0.0,1183.6222222222223,1183.6222222222223,,,,,1.0,100.0,100.0,100.0,100.0,0.0,15.387088888888888,15.387088888888888,15.387088888888888,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,31.0,9.0,1,0.0,0.0,0.0,1183.6222222222223,0.0,0.0,100.0,0.0
Bradford Partners,2123.0,2514.0,391,5,5897.869816666666,1179.5739633333333,303.83213333333333,1863.7660135625626,4447.533333333333,79.23493333333333,97.75,125.96924227762902,0.0,264.0,4.670716112531969,284.6,21.0,1000.0,1.0,434.58520453416264,5.781793333333333,5.781793333333333,5.781793333333333,22.0,20.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,60.0,5.6,8,100.0,20.0,100.0,20.0,20.0,80.0,40.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,25.6,3.0,3,-3763.330983332992,-127.61661753530993,0.0,5897.869816666666,0.0,0.0,100.0,0.0
Delta Media,934.0,934.0,0,2,2962.898333333333,1481.4491666666665,1481.4491666666665,189.38558771649488,1615.3649999999998,1347.5333333333333,0.0,,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,3.3399564166666664,3.3399564166666664,3.7153395,12.5,12.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,37.5,7.0,1,0.0,0.0,0.0,2962.898333333333,0.0,0.0,100.0,0.0
MetroAsso,2382.0,2382.0,0,1,1081.3176649659863,1081.3176649659863,1081.3176649659863,0.0,1081.3176649659863,1081.3176649659863,,,,,1.0,10000.0,10000.0,10000.0,10000.0,0.0,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,21.0,7.0,1,0.0,0.0,0.0,1081.3176649659863,0.0,0.0,100.0,0.0
Dynamic Systems,2534.0,2534.0,0,1,211.52474999999998,211.52474999999998,211.52474999999998,0.0,211.52474999999998,211.52474999999998,,,,,1.0,300.0,300.0,300.0,300.0,0.0,,,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,2.0,1,0.0,0.0,0.0,211.52474999999998,0.0,0.0,100.0,0.0
King & Johnson,451.0,683.0,232,2,1100.4944,550.2472,550.2472,218.79694003271612,704.9599999999999,395.5344,232.0,,232.0,232.0,3.148706896551724,100.0,100.0,100.0,100.0,0.0,7.754559999999999,7.754559999999999,7.754559999999999,15.0,15.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,7.0,9,100.0,50.0,100.0,50.0,50.0,100.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33.0,3.0,2,0.0,0.0,0.0,1100.4944,0.0,0.0,100.0,0.0
Metro Graphics,235.0,2495.0,2260,7,9917.612222222222,1416.801746031746,1454.01,671.3000792660276,2603.5,609.62,376.6666666666667,436.1268928496231,0.0,1151.0,1.1313053097345134,2750.0,1200.0,13200.0,400.0,4664.493541639864,2.05172,2.05172,2.2745800000000003,25.571428571428573,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42.857142857142854,6.428571428571429,9,100.0,57.14285714285714,100.0,28.57142857142857,28.57142857142857,28.57142857142857,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18.285714285714285,3.0,4,-759.2148113207966,-38.27608875549888,1454.01,8463.602222222222,14.660887796580965,0.0,100.0,0.0
Zenith Manufacturing,1288.0,1317.0,29,4,10264.967875,2566.24196875,2675.954761904762,1734.7920538090593,4110.52380952381,802.5345416666667,9.666666666666666,16.74315780649915,0.0,29.0,50.37931034482759,2225.0,2300.0,4000.0,300.0,2053.249457161339,,,,12.5,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.5,7,100.0,25.0,100.0,75.0,75.0,50.0,100.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.0,6.0,2,0.0,0.0,0.0,10264.967875,0.0,0.0,100.0,0.0
AtlanticEnte,2569.0,2569.0,0,2,800.1299285714285,400.06496428571427,400.06496428571427,21.277028240536392,415.11009523809525,385.01983333333334,0.0,,0.0,0.0,2.0,150.0,150.0,150.0,150.0,0.0,2.667099761904762,2.667099761904762,2.767400634920635,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,28.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,26,26.0,1.0,1,0.0,0.0,0.0,800.1299285714285,0.0,100.0,0.0,0.0
SummitSolu,2543.0,2543.0,0,1,517.1375,517.1375,517.1375,0.0,517.1375,517.1375,,,,,1.0,400.0,400.0,400.0,400.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,2.0,1,0.0,0.0,0.0,517.1375,0.0,0.0,100.0,0.0
Matrix Group,549.0,2307.0,1758,13,36355.496565460926,2796.5766588816095,855.14,3685.6897932309275,10835.208333333334,167.21640673076922,146.5,341.86959236208503,0.0,1221.0,2.7009385665529013,1087.0,450.0,6000.0,25.0,1755.754206411972,5.269080801388889,3.0240128285714287,20.586895833333333,21.25,20.0,83.33333333333334,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,92.3076923076923,6.923076923076923,9,100.0,69.23076923076923,92.3076923076923,69.23076923076923,69.23076923076923,92.3076923076923,61.53846153846154,84.61538461538461,53.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,27.76923076923077,10.0,6,1652.2513551608151,18.178834137895013,0.0,36355.496565460926,0.0,0.0,100.0,0.0
WesternPrin,2279.0,2279.0,0,1,270.68653333333333,270.68653333333333,270.68653333333333,0.0,270.68653333333333,270.68653333333333,,,,,1.0,50.0,50.0,50.0,50.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,10.0,1,0.0,0.0,0.0,270.68653333333333,0.0,0.0,100.0,0.0
Walker & White,871.0,988.0,117,13,28946.301896985657,2226.638607460435,1600.7333333333333,2099.7403428535836,7963.25,276.57800000000003,9.75,8.454423264024149,0.0,26.0,40.583333333333336,770.3846153846154,250.0,5000.0,15.0,1321.451950095143,7.091507995121545,4.208306666666666,20.28238666666667,11.153846153846153,10.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,92.3076923076923,8.307692307692308,9,100.0,92.3076923076923,100.0,92.3076923076923,92.3076923076923,92.3076923076923,84.61538461538461,84.61538461538461,92.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,30.846153846153847,6.0,5,0.0,0.0,0.0,28946.301896985657,0.0,0.0,100.0,0.0
Express Services,878.0,990.0,112,3,6801.765861244019,2267.2552870813397,2716.4254545454546,966.5615829263837,2927.501212121212,1157.8391945773526,56.0,79.19595949289332,0.0,112.0,9.783482142857144,1500.0,2000.0,2000.0,500.0,866.0254037844386,1.8904810826687932,1.6298552727272726,2.4314623086124407,11.666666666666666,10.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,8.666666666666666,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,27.0,5.0,2,0.0,0.0,0.0,6801.765861244019,0.0,0.0,100.0,0.0
Vector Communications,1369.0,1369.0,0,1,4049.366666666667,4049.366666666667,4049.366666666667,0.0,4049.366666666667,4049.366666666667,,,,,1.0,2000.0,2000.0,2000.0,2000.0,0.0,2.42962,2.42962,2.42962,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,31.0,4.0,1,0.0,0.0,0.0,4049.366666666667,0.0,0.0,100.0,0.0
Jackson & Baker,1817.0,1817.0,0,1,913.3755000000001,913.3755000000001,913.3755000000001,0.0,913.3755000000001,913.3755000000001,,,,,1.0,50.0,50.0,50.0,50.0,0.0,,,,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,2.0,1,0.0,0.0,0.0,913.3755000000001,0.0,0.0,100.0,0.0
Atlantic Industries,1817.0,1817.0,0,1,899.6953333333333,899.6953333333333,899.6953333333333,0.0,899.6953333333333,899.6953333333333,,,,,1.0,200.0,200.0,200.0,200.0,0.0,,,,20.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23.0,2.0,1,0.0,0.0,0.0,899.6953333333333,0.0,0.0,100.0,0.0
Atlantic International,2292.0,2292.0,0,1,75.72519333333334,75.72519333333334,75.72519333333334,0.0,75.72519333333334,75.72519333333334,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25.0,10.0,1,0.0,0.0,0.0,75.72519333333334,0.0,0.0,100.0,0.0
Sigma Productions,2006.0,2006.0,0,1,7983.152944444444,7983.152944444444,7983.152944444444,0.0,7983.152944444444,7983.152944444444,,,,,1.0,1000.0,1000.0,1000.0,1000.0,0.0,,,,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,26.0,7.0,1,0.0,0.0,0.0,7983.152944444444,0.0,0.0,100.0,0.0
Bath Services,2606.0,2608.0,2,4,10936.610501443001,2734.1526253607503,2560.977770562771,1274.7798950854037,4177.865714285715,1636.789246031746,0.6666666666666666,1.1547005383792517,0.0,2.0,730.5,812.5,625.0,1500.0,500.0,473.2423621500228,4.333432795214045,3.926573478835979,8.35573142857143,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,30.5,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,31,28.5,12.0,1,0.0,0.0,0.0,10936.610501443001,0.0,100.0,0.0,0.0
Roberts & Green,2065.0,2065.0,0,4,2557.229097777778,639.3072744444445,642.5304133333334,42.17921039954415,687.5414133333334,584.6268577777778,0.0,0.0,0.0,0.0,4.0,106.0,106.0,200.0,12.0,108.54185060764965,,,,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,26.5,5.0,1,0.0,0.0,0.0,2557.229097777778,0.0,0.0,100.0,0.0
Delta Group,472.0,472.0,0,1,1580.22,1580.22,1580.22,0.0,1580.22,1580.22,,,,,1.0,100.0,100.0,100.0,100.0,0.0,22.12308,22.12308,22.12308,40.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,43.0,10.0,1,0.0,0.0,0.0,1580.22,0.0,0.0,100.0,0.0
Thomas & Lee,2193.0,2193.0,0,1,1555.906666666667,1555.906666666667,1555.906666666667,0.0,1555.906666666667,1555.906666666667,,,,,1.0,100.0,100.0,100.0,100.0,0.0,21.00474,21.00474,21.00474,35.0,35.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,38.0,1.0,1,0.0,0.0,0.0,1555.906666666667,0.0,0.0,100.0,0.0
Summit Graphics,2193.0,2193.0,0,1,1784.0833333333335,1784.0833333333335,1784.0833333333335,0.0,1784.0833333333335,1784.0833333333335,,,,,1.0,150.0,150.0,150.0,150.0,0.0,16.05675,16.05675,16.05675,35.0,35.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,9.0,9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,38.0,1.0,1,0.0,0.0,0.0,1784.0833333333335,0.0,0.0,100.0,0.0
AtlasSign,2599.0,2599.0,0,2,373.8460952380952,186.9230476190476,186.9230476190476,164.78551115777242,303.44399999999996,70.40209523809523,0.0,,0.0,0.0,2.0,,,,,,,,,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,18.5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18.5,12.0,1,0.0,0.0,0.0,373.8460952380952,0.0,100.0,0.0,0.0
Mega Packaging,1569.0,1569.0,0,1,313.663,313.663,313.663,0.0,313.663,313.663,,,,,1.0,258.0,258.0,258.0,258.0,0.0,,,,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,10.0,1,0.0,0.0,0.0,313.663,0.0,0.0,100.0,0.0
NexusSolu,133.0,133.0,0,2,3435.2520799999998,1717.6260399999999,1717.6260399999999,153.6680119953013,1826.2857333333332,1608.9663466666666,0.0,,0.0,0.0,2.0,2000.0,2000.0,2000.0,2000.0,0.0,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,4,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15.5,9.0,1,0.0,0.0,3435.2520799999998,0.0,100.0,0.0,100.0,0.0
Oxford Group,907.0,940.0,33,5,32421.010675324676,6484.202135064936,6425.834476190476,3874.147378216942,11178.145428571428,2671.9744761904763,8.25,11.786291472158096,0.0,25.0,55.340909090909086,2600.0,2000.0,6000.0,1000.0,1949.3588689617927,11.36769818181818,11.36769818181818,11.36769818181818,13.333333333333334,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,6.2,7,100.0,20.0,100.0,100.0,100.0,20.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17.8,6.0,3,0.0,0.0,0.0,32421.010675324676,0.0,0.0,100.0,0.0
Lewis & Allen,203.0,2646.0,2443,100,96847.77715889543,968.4777715889544,232.72865416666667,5012.534239606731,49205.805555555555,41.75906666666666,24.67676767676768,33.05339782553107,0.0,125.0,14.950880065493246,273.18,30.0,13000.0,1.0,1352.6016336652635,3.0507854184301095,3.2337018491228067,4.208284666666667,26.843434343434343,20.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,5.11,6,100.0,11.0,100.0,1.0,0.0,14.000000000000002,85.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17.23,1.0,12,-3493.05487359551,-28.853980760876336,2381.38103034127,94466.39612855416,2.458890746076913,0.0,100.0,0.0
CoastalWork,2465.0,2465.0,0,1,3883.333333333333,3883.333333333333,3883.333333333333,0.0,3883.333333333333,3883.333333333333,,,,,1.0,1400.0,1400.0,1400.0,1400.0,0.0,3.0511904761904756,3.0511904761904756,3.0511904761904756,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,31.0,4.0,1,0.0,0.0,0.0,3883.333333333333,0.0,0.0,100.0,0.0
